Tue Feb  5 20:52:51 EET 2019

setting things for Taito!
----------------------------------------------------------------------------
  Setting up new environment, removing all currently loaded modules
----------------------------------------------------------------------------
  Loading new modules:
    python-env/intelpython3.6-2018.3    cuda/9.0
    gcc/5.4.0                           cudnn/7.1-cuda9
Loading application Intel Distribution for Python 2018 update 3 
IntelDistributionpython3andConda nil environment loaded
 
To list available conda environments, please run command:
    conda env list
 
To activate a specific conda environment, please run command:
    source activate environment-name
 
To deactivate qiime environment, run command: 
    source deactivate
RNN Language MODEL: Loading gigaword corpus
| epoch 1.000000 | 200.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  6.14 |   464.22 ppl
| epoch 1.000000 | 400.000000/12797.171429 batches | lr 20.00 | 12.38 ms/batch | loss  3.46 |    31.70 ppl
| epoch 1.000000 | 600.000000/12797.171429 batches | lr 20.00 | 12.42 ms/batch | loss  2.63 |    13.91 ppl
| epoch 1.000000 | 800.000000/12797.171429 batches | lr 20.00 | 12.36 ms/batch | loss  2.28 |     9.75 ppl
| epoch 1.000000 | 1000.000000/12797.171429 batches | lr 20.00 | 12.35 ms/batch | loss  1.97 |     7.17 ppl
| epoch 1.000000 | 1200.000000/12797.171429 batches | lr 20.00 | 12.34 ms/batch | loss  1.81 |     6.10 ppl
| epoch 1.000000 | 1400.000000/12797.171429 batches | lr 20.00 | 12.31 ms/batch | loss  1.70 |     5.49 ppl
| epoch 1.000000 | 1600.000000/12797.171429 batches | lr 20.00 | 12.27 ms/batch | loss  1.55 |     4.72 ppl
| epoch 1.000000 | 1800.000000/12797.171429 batches | lr 20.00 | 12.25 ms/batch | loss  1.47 |     4.36 ppl
| epoch 1.000000 | 2000.000000/12797.171429 batches | lr 20.00 | 12.22 ms/batch | loss  1.37 |     3.93 ppl
| epoch 1.000000 | 2200.000000/12797.171429 batches | lr 20.00 | 12.25 ms/batch | loss  1.31 |     3.70 ppl
| epoch 1.000000 | 2400.000000/12797.171429 batches | lr 20.00 | 12.23 ms/batch | loss  1.26 |     3.53 ppl
| epoch 1.000000 | 2600.000000/12797.171429 batches | lr 20.00 | 12.17 ms/batch | loss  1.23 |     3.41 ppl
| epoch 1.000000 | 2800.000000/12797.171429 batches | lr 20.00 | 12.18 ms/batch | loss  1.22 |     3.37 ppl
| epoch 1.000000 | 3000.000000/12797.171429 batches | lr 20.00 | 12.16 ms/batch | loss  1.13 |     3.10 ppl
| epoch 1.000000 | 3200.000000/12797.171429 batches | lr 20.00 | 12.16 ms/batch | loss  1.12 |     3.06 ppl
| epoch 1.000000 | 3400.000000/12797.171429 batches | lr 20.00 | 12.17 ms/batch | loss  1.11 |     3.04 ppl
| epoch 1.000000 | 3600.000000/12797.171429 batches | lr 20.00 | 12.14 ms/batch | loss  1.06 |     2.89 ppl
| epoch 1.000000 | 3800.000000/12797.171429 batches | lr 20.00 | 12.14 ms/batch | loss  1.03 |     2.79 ppl
