Sun Feb  3 20:27:09 EET 2019

setting things for Taito!
----------------------------------------------------------------------------
  Setting up new environment, removing all currently loaded modules
----------------------------------------------------------------------------
  Loading new modules:
    python-env/intelpython3.6-2018.3    cuda/9.0
    gcc/5.4.0                           cudnn/7.1-cuda9
Loading application Intel Distribution for Python 2018 update 3 
IntelDistributionpython3andConda nil environment loaded
 
To list available conda environments, please run command:
    conda env list
 
To activate a specific conda environment, please run command:
    source activate environment-name
 
To deactivate qiime environment, run command: 
    source deactivate
RNN Language MODEL: Loading gigaword corpus
| epoch 1.000000 | 200.000000/12797.171429 batches | lr 20.00 | 11.03 ms/batch | loss  9.05 |  8528.16 ppl
| epoch 1.000000 | 400.000000/12797.171429 batches | lr 20.00 |  8.07 ms/batch | loss  8.25 |  3846.11 ppl
| epoch 1.000000 | 600.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  8.02 |  3041.43 ppl
| epoch 1.000000 | 800.000000/12797.171429 batches | lr 20.00 |  7.93 ms/batch | loss  7.82 |  2497.47 ppl
| epoch 1.000000 | 1000.000000/12797.171429 batches | lr 20.00 |  7.93 ms/batch | loss  7.70 |  2197.50 ppl
| epoch 1.000000 | 1200.000000/12797.171429 batches | lr 20.00 |  7.93 ms/batch | loss  7.60 |  1995.45 ppl
| epoch 1.000000 | 1400.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  7.45 |  1724.95 ppl
| epoch 1.000000 | 1600.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  7.39 |  1625.37 ppl
| epoch 1.000000 | 1800.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  7.26 |  1421.86 ppl
| epoch 1.000000 | 2000.000000/12797.171429 batches | lr 20.00 |  7.93 ms/batch | loss  7.16 |  1291.92 ppl
| epoch 1.000000 | 2200.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  7.12 |  1232.95 ppl
| epoch 1.000000 | 2400.000000/12797.171429 batches | lr 20.00 |  8.02 ms/batch | loss  7.08 |  1187.05 ppl
| epoch 1.000000 | 2600.000000/12797.171429 batches | lr 20.00 |  7.95 ms/batch | loss  7.04 |  1146.89 ppl
| epoch 1.000000 | 2800.000000/12797.171429 batches | lr 20.00 |  7.93 ms/batch | loss  7.05 |  1152.27 ppl
| epoch 1.000000 | 3000.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.92 |  1015.38 ppl
| epoch 1.000000 | 3200.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.91 |  1003.72 ppl
| epoch 1.000000 | 3400.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.93 |  1022.88 ppl
| epoch 1.000000 | 3600.000000/12797.171429 batches | lr 20.00 |  7.93 ms/batch | loss  6.91 |   997.88 ppl
| epoch 1.000000 | 3800.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.85 |   945.93 ppl
| epoch 1.000000 | 4000.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.87 |   964.71 ppl
| epoch 1.000000 | 4200.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.81 |   904.34 ppl
| epoch 1.000000 | 4400.000000/12797.171429 batches | lr 20.00 |  7.93 ms/batch | loss  6.77 |   872.69 ppl
| epoch 1.000000 | 4600.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.75 |   856.50 ppl
| epoch 1.000000 | 4800.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.69 |   806.22 ppl
| epoch 1.000000 | 5000.000000/12797.171429 batches | lr 20.00 |  7.93 ms/batch | loss  6.73 |   841.16 ppl
| epoch 1.000000 | 5200.000000/12797.171429 batches | lr 20.00 |  7.92 ms/batch | loss  6.75 |   857.60 ppl
| epoch 1.000000 | 5400.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.69 |   802.91 ppl
| epoch 1.000000 | 5600.000000/12797.171429 batches | lr 20.00 |  8.01 ms/batch | loss  6.66 |   783.02 ppl
| epoch 1.000000 | 5800.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.67 |   789.34 ppl
| epoch 1.000000 | 6000.000000/12797.171429 batches | lr 20.00 |  7.93 ms/batch | loss  6.68 |   794.00 ppl
| epoch 1.000000 | 6200.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.61 |   743.60 ppl
| epoch 1.000000 | 6400.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.59 |   729.39 ppl
| epoch 1.000000 | 6600.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.63 |   760.88 ppl
| epoch 1.000000 | 6800.000000/12797.171429 batches | lr 20.00 |  7.92 ms/batch | loss  6.58 |   723.87 ppl
| epoch 1.000000 | 7000.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.58 |   720.84 ppl
| epoch 1.000000 | 7200.000000/12797.171429 batches | lr 20.00 |  7.94 ms/batch | loss  6.59 |   728.54 ppl
