Sun Feb  3 22:40:26 EET 2019

setting things for Taito!
----------------------------------------------------------------------------
  Setting up new environment, removing all currently loaded modules
----------------------------------------------------------------------------
  Loading new modules:
    python-env/intelpython3.6-2018.3    cuda/9.0
    gcc/5.4.0                           cudnn/7.1-cuda9
Loading application Intel Distribution for Python 2018 update 3 
IntelDistributionpython3andConda nil environment loaded
 
To list available conda environments, please run command:
    conda env list
 
To activate a specific conda environment, please run command:
    source activate environment-name
 
To deactivate qiime environment, run command: 
    source deactivate
RNN Language MODEL: Loading gigaword corpus
| epoch 1.000000 | 200.000000/12797.171429 batches | lr 20.00 | 10.70 ms/batch | loss  9.00 |  8084.97 ppl
| epoch 1.000000 | 400.000000/12797.171429 batches | lr 20.00 |  8.99 ms/batch | loss  8.19 |  3598.53 ppl
| epoch 1.000000 | 600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  8.04 |  3092.14 ppl
| epoch 1.000000 | 800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  8.00 |  2980.48 ppl
| epoch 1.000000 | 1000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  7.76 |  2343.15 ppl
| epoch 1.000000 | 1200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  7.75 |  2312.50 ppl
| epoch 1.000000 | 1400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  7.62 |  2047.91 ppl
| epoch 1.000000 | 1600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  7.47 |  1760.42 ppl
| epoch 1.000000 | 1800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  7.39 |  1617.65 ppl
| epoch 1.000000 | 2000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  7.17 |  1301.36 ppl
| epoch 1.000000 | 2200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  7.06 |  1168.99 ppl
| epoch 1.000000 | 2400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  7.01 |  1112.66 ppl
| epoch 1.000000 | 2600.000000/12797.171429 batches | lr 20.00 |  8.99 ms/batch | loss  6.96 |  1053.23 ppl
| epoch 1.000000 | 2800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.96 |  1054.01 ppl
| epoch 1.000000 | 3000.000000/12797.171429 batches | lr 20.00 |  8.99 ms/batch | loss  6.81 |   906.04 ppl
| epoch 1.000000 | 3200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.85 |   945.08 ppl
| epoch 1.000000 | 3400.000000/12797.171429 batches | lr 20.00 |  8.99 ms/batch | loss  6.85 |   944.97 ppl
| epoch 1.000000 | 3600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.85 |   947.83 ppl
| epoch 1.000000 | 3800.000000/12797.171429 batches | lr 20.00 |  8.99 ms/batch | loss  6.76 |   864.30 ppl
| epoch 1.000000 | 4000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.71 |   820.17 ppl
| epoch 1.000000 | 4200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.74 |   849.41 ppl
| epoch 1.000000 | 4400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.72 |   832.93 ppl
| epoch 1.000000 | 4600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.65 |   772.30 ppl
| epoch 1.000000 | 4800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.62 |   751.44 ppl
| epoch 1.000000 | 5000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.67 |   788.88 ppl
| epoch 1.000000 | 5200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.66 |   781.71 ppl
| epoch 1.000000 | 5400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.62 |   746.62 ppl
| epoch 1.000000 | 5600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.62 |   746.57 ppl
| epoch 1.000000 | 5800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.58 |   723.73 ppl
| epoch 1.000000 | 6000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.52 |   675.87 ppl
| epoch 1.000000 | 6200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.50 |   666.40 ppl
| epoch 1.000000 | 6400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.49 |   659.58 ppl
| epoch 1.000000 | 6600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.50 |   665.71 ppl
| epoch 1.000000 | 6800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.52 |   679.01 ppl
| epoch 1.000000 | 7000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.47 |   644.26 ppl
| epoch 1.000000 | 7200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.52 |   680.74 ppl
| epoch 1.000000 | 7400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.52 |   681.95 ppl
| epoch 1.000000 | 7600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.57 |   715.31 ppl
| epoch 1.000000 | 7800.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.48 |   652.51 ppl
| epoch 1.000000 | 8000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.49 |   660.67 ppl
| epoch 1.000000 | 8200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.47 |   643.00 ppl
| epoch 1.000000 | 8400.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.41 |   605.00 ppl
| epoch 1.000000 | 8600.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.46 |   636.94 ppl
| epoch 1.000000 | 8800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.46 |   641.76 ppl
| epoch 1.000000 | 9000.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.40 |   601.07 ppl
| epoch 1.000000 | 9200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.38 |   591.06 ppl
| epoch 1.000000 | 9400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.39 |   597.61 ppl
| epoch 1.000000 | 9600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.41 |   609.55 ppl
| epoch 1.000000 | 9800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.38 |   591.57 ppl
| epoch 1.000000 | 10000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.40 |   599.84 ppl
| epoch 1.000000 | 10200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.38 |   587.34 ppl
| epoch 1.000000 | 10400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.36 |   578.57 ppl
| epoch 1.000000 | 10600.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.32 |   556.84 ppl
| epoch 1.000000 | 10800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.35 |   573.31 ppl
| epoch 1.000000 | 11000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.34 |   568.81 ppl
| epoch 1.000000 | 11200.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.30 |   543.40 ppl
| epoch 1.000000 | 11400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.37 |   585.65 ppl
| epoch 1.000000 | 11600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.36 |   579.85 ppl
| epoch 1.000000 | 11800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.34 |   565.71 ppl
| epoch 1.000000 | 12000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.32 |   557.06 ppl
| epoch 1.000000 | 12200.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.31 |   548.52 ppl
| epoch 1.000000 | 12400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.35 |   573.87 ppl
| epoch 1.000000 | 12600.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.34 |   569.50 ppl
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 116.87s | valid loss  6.32 | valid ppl   553.35
-----------------------------------------------------------------------------------------

| epoch 2.000000 | 200.000000/12797.171429 batches | lr 20.00 |  9.03 ms/batch | loss  6.37 |   583.73 ppl
| epoch 2.000000 | 400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.32 |   556.59 ppl
| epoch 2.000000 | 600.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.25 |   519.21 ppl
| epoch 2.000000 | 800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.33 |   559.93 ppl
| epoch 2.000000 | 1000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.30 |   543.78 ppl
| epoch 2.000000 | 1200.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.30 |   542.40 ppl
| epoch 2.000000 | 1400.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.28 |   532.36 ppl
| epoch 2.000000 | 1600.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.27 |   526.22 ppl
| epoch 2.000000 | 1800.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.29 |   539.26 ppl
| epoch 2.000000 | 2000.000000/12797.171429 batches | lr 20.00 |  8.98 ms/batch | loss  6.20 |   492.50 ppl
| epoch 2.000000 | 2200.000000/12797.171429 batches | lr 20.00 |  8.97 ms/batch | loss  6.21 |   495.88 ppl
| epoch 2.000000 | 2400.000000/12797.171429 batches | lr 20.00 |  8.99 ms/batch | loss  6.19 |   486.42 ppl
